Papel	Cotação	P/L	P/VP	PSR	Div.Yield	P/Ativo	P/Cap.Giro	P/EBIT	P/Ativ Circ.Liq	EV/EBIT	EV/EBITDA	Mrg Ebit	Mrg. Líq.	Liq. Corr.	ROIC	ROE	Liq.2meses	Patrim. Líq	Dív.Brut/ Patrim.	Cresc. Rec.5a
GNDI3	71,02	-3.802,75	6,19	3,631	0,39%	2,522	84,49	92,34	-6,59	96,42	53,83	3,93%	-0,09%	1,17	3,09%	-0,16%	332.320.000,00	7.116.080.000,00	0,53	25,23%
APER3	32,29	-3.074,01	1,67	3,846	0,00%	1,004	7,07	-8,38	-9,76	-6,63	-8,95	-45,89%	-0,31%	1,92	-15,46%	-0,05%	1.770.850,00	293.651.000,00	0,00	6,64%
CASH3	2,88	-483,11	3,24	11,108	0,20%	2,801	3,91	-254,66	4,42	-192,08	-290,92	-4,36%	-1,15%	21,09	-3,63%	-0,67%	162.006.000,00	713.849.000,00	0,00	0,00%
RCSL3	3,96	-464,08	-6,87	5,522	0,00%	4,634	68,24	328,15	-4,04	325,69	173,36	1,68%	-1,18%	1,15	1,50%	1,48%	21.488.100,00	-43.698.000,00	-0,00	667,41%
DASA3	27,79	-430,01	2,10	1,562	1,06%	0,847	19,06	98,83	-2,96	118,88	17,76	1,58%	-0,26%	1,17	1,04%	-0,49%	12.190.400,00	7.418.660.000,00	0,72	30,37%
RCSL4	1,18	-138,29	-2,05	1,646	0,00%	1,381	20,33	97,78	-1,21	95,32	50,74	1,68%	-1,18%	1,15	1,50%	1,48%	1.544.010,00	-43.698.000,00	-0,00	667,41%
MAPT4	21,51	-114,93	-3,35	0,000	0,00%	25,573	-4.941,92	-130,91	-2,96	-130,91	-130,91	0,00%	0,00%	0,00	-19,64%	2,92%	1.732,44	-5.898.000,00	0,00	0,00%
NORD3	10,12	-67,41	-0,48	33,841	0,00%	3,817	-1,44	-64,06	-0,43	-100,02	-100,02	-52,83%	-50,20%	0,03	-6,16%	0,71%	2.476,74	-140.887.000,00	-0,27	46,63%
FRTA3	4,88	-65,50	-0,15	0,578	0,00%	0,295	-0,12	-36,98	-0,11	-263,32	-263,32	-1,56%	-0,88%	0,06	-0,96%	0,24%	23.005,50	-64.752.000,00	-0,96	-27,76%
ELMD3	14,00	-51,58	2,59	5,599	0,00%	1,249	5,01	-64,72	-16,24	-65,23	49,88	-8,65%	-10,85%	2,29	-3,34%	-5,03%	1.742.820,00	750.727.000,00	0,79	0,00%
EMBR3	18,97	-47,87	0,96	0,532	0,00%	0,249	0,84	7,13	-1,66	12,25	7,62	7,47%	-1,15%	2,04	4,91%	-2,00%	225.978.000,00	14.686.800.000,00	1,60	2,38%
RRRP3	37,48	-37,62	4,17	11,602	0,00%	2,077	8,73	30,35	-21,17	27,99	19,84	38,23%	-30,15%	2,64	10,62%	-11,08%	127.202.000,00	1.822.360.000,00	0,37	0,00%
VLID3	10,40	-35,08	0,69	0,396	2,79%	0,280	1,80	5,73	-1,87	11,72	5,81	6,91%	-1,04%	1,57	6,01%	-1,97%	3.933.360,00	1.235.000.000,00	1,05	7,86%
OMGE3	27,57	-32,03	1,59	3,419	0,00%	0,543	10,86	12,56	-1,06	24,34	13,09	27,23%	-11,12%	1,72	4,69%	-4,95%	16.274.500,00	3.483.570.000,00	1,66	38,73%
ORVR3	29,00	-31,84	5,54	5,408	0,00%	2,241	14,08	41,02	-12,25	46,16	23,35	13,18%	-8,88%	1,66	5,65%	-17,39%	13.446.200,00	374.300.000,00	0,71	0,00%
OPCT3	2,90	-19,21	0,66	0,872	0,00%	0,290	1,63	220,15	-1,34	369,29	8,57	0,40%	-1,76%	2,06	0,18%	-3,43%	2.664.680,00	880.290.000,00	0,98	0,00%
DTCY3	7,55	-19,01	54,01	7,765	0,00%	4,470	-30,95	-35,94	-8,06	-35,76	44,71	-21,60%	-40,85%	0,72	-14,31%	-284,13%	342,54	1.556.000,00	1,21	-8,50%
TELB3	39,50	-18,66	1,85	10,007	0,00%	0,667	2,45	-7,76	-2,13	-5,68	-20,95	-129,01%	-53,64%	5,93	-11,43%	-9,94%	17.865,80	1.445.520.000,00	0,16	70,12%
HBSA3	2,80	-18,51	1,49	1,649	0,00%	0,345	4,48	10,85	-0,57	31,45	12,27	15,20%	-8,91%	1,92	3,47%	-8,05%	10.123.500,00	1.427.680.000,00	3,10	36,31%
ECOR3	7,19	-18,40	2,37	1,130	0,00%	0,291	-3,56	2,65	-0,47	6,63	4,94	42,59%	-6,19%	0,76	13,80%	-12,90%	49.060.000,00	2.109.920.000,00	5,16	10,80%
TCNO3	1,75	-18,27	-20,04	0,000	0,00%	0,049	-0,12	-5,39	-0,06	-21,11	-25,50	0,00%	0,00%	0,29	-1,24%	109,69%	132.390,00	-578.000,00	-58,53	53,01%
SMFT3	16,52	-15,45	2,14	6,263	0,00%	0,889	4,08	-27,04	-3,80	-26,91	23,28	-23,16%	-40,66%	2,68	-4,86%	-13,85%	22.603.200,00	4.524.110.000,00	0,72	12,21%
HBRE3	7,90	-14,70	0,46	10,210	0,00%	0,238	2,62	11,78	-1,05	18,38	18,23	86,67%	-78,29%	2,12	2,42%	-3,14%	576.697,00	1.767.560.000,00	0,57	0,00%
BIOM3	13,90	-13,76	7,19	9,825	0,00%	2,650	13,21	-17,69	-11,91	-19,80	-20,04	-55,55%	-71,41%	1,96	-18,71%	-52,27%	185.245,00	142.109.000,00	1,25	596,49%
TCNO4	1,28	-13,37	-14,66	0,000	0,00%	0,036	-0,08	-3,94	-0,04	-19,66	-23,75	0,00%	0,00%	0,29	-1,24%	109,69%	206.568,00	-578.000,00	-58,53	53,01%
WEST3	3,38	-12,11	0,94	1,226	0,00%	0,706	1,18	-6,55	1,36	-1,70	-1,70	-18,73%	-10,13%	4,48	-34,00%	-7,75%	3.228.180,00	396.627.000,00	0,09	0,00%
FRIO3	50,59	-11,97	-1,84	0,111	0,00%	0,116	-2,55	3,14	-0,38	16,62	8,39	3,53%	0,24%	0,94	6,36%	15,40%	117,65	-112.663.000,00	-11,09	17,35%
MEAL3	2,67	-9,76	0,66	0,465	0,00%	0,257	2,16	-10,91	-0,74	-13,37	8,61	-4,26%	-4,76%	1,81	-3,11%	-6,76%	4.976.250,00	1.158.050.000,00	0,61	-0,48%
