Papel	Segmento	Cotação	FFO Yield	Dividend Yield	P/VP	Valor de Mercado	Liquidez	Qtd de imóveis	Preço do m2	Aluguel por m2	Cap Rate	Vacância Média
ABCP11	Shoppings	75,99	5,93%	6,65%	0,83	927.369.000	103.783	1	12.970,00	936,11	7,22%	8,20%
AFHI11	Títulos e Val. Mob.	101,49	3,24%	8,48%	1,03	181.431.000	738.729	0	0,00	0,00	0,00%	0,00%
AFOF11	Títulos e Val. Mob.	88,25	3,02%	9,07%	0,84	60.997.700	153.031	0	0,00	0,00	0,00%	0,00%
AIEC11	Lajes Corporativas	77,80	9,19%	9,81%	0,76	375.384.000	826.339	2	16.107,60	1.327,48	8,24%	0,00%
ALMI11	Lajes Corporativas	995,00	-0,79%	0,00%	0,44	110.621.000	77.946	1	6.442,56	345,81	5,37%	65,10%
ALZR11	Híbrido	115,76	4,72%	6,04%	1,07	685.532.000	931.106	13	6.319,81	348,75	5,52%	0,00%
ANCR11B	Shoppings	3.500,00	5,55%	4,75%	1,04	1.578.900.000	81	3	15.252,80	1.345,96	8,82%	0,00%
APTO11	Híbrido	10,50	-0,27%	1,45%	1,07	42.135.000	35.581	1	14.157,90	0,00	0,00%	0,00%
ARCT11	Híbrido	108,00	2,99%	12,75%	1,07	270.991.000	1.209.610	6	1.543,42	23,51	1,52%	0,00%
ARRI11	Títulos e Val. Mob.	100,00	6,36%	14,69%	1,07	104.832.000	577.550	0	0,00	0,00	0,00%	0,00%
ATSA11	Shoppings	93,99	-1,41%	0,00%	1,06	164.590.000	9.016	1	4.924,38	-30,74	-0,62%	21,26%
BARI11	Títulos e Val. Mob.	103,31	12,00%	13,43%	1,02	478.758.000	1.290.880	1	0,00	0,00	0,00%	0,00%
BBFI11B	Lajes Corporativas	2.235,00	13,61%	14,68%	0,79	290.550.000	378.503	2	3.196,82	484,17	15,15%	39,15%
BBFO11	Títulos e Val. Mob.	75,98	6,27%	9,35%	0,86	304.216.000	158.015	0	0,00	0,00	0,00%	0,00%
BBPO11	Lajes Corporativas	92,30	12,56%	12,51%	0,96	1.469.390.000	1.196.240	63	3.702,33	570,14	15,40%	0,00%
BBRC11	Outros	97,15	12,83%	10,93%	0,90	154.468.000	135.982	20	9.547,81	1.367,08	14,32%	0,00%
BCFF11	Títulos e Val. Mob.	71,58	5,01%	8,51%	0,91	1.802.840.000	3.380.360	0	0,00	0,00	0,00%	0,00%
